54,3,1,50,"怀孕反应","{cmspath}/huaiyun/hyfy","怀孕初期的症状一般出现在停经6周开始至怀孕3个月的这一时间段内。怀孕反应一般包括头晕乏力、食欲不振、喜酸食物或厌恶油腻恶心、晨起呕吐等。妈妈网提醒孕妇，并非所有的孕吐都是早孕反应，一旦发生剧吐，需到医院及时就诊。","妊娠反应,怀孕的症状,早孕反应,孕吐","妊娠反应，怀孕的症状，怀孕反应",554
2,0,1,0,"备孕","{cmspath}/beiyun/","备孕注意事项,备孕期间不能吃什么,备孕知识,备孕成功经验","孕前准备是优孕的关键，妈妈网为你讲解相关的备孕知识，包括孕前检查、孕前饮食、遗传优生、生男生女、不孕不育等知识。此外，我","备孕注意事项，备孕期间不能吃什么，备孕知识",502
3,0,1,1,"怀孕","{cmspath}/huaiyun","怀孕是有很多学问的，如怀孕的征兆包括喜酸食物或厌恶油腻、恶心、晨起呕吐等。怀孕的初期症状一般出现在怀孕6周左右。妈妈网为你搜集了最全的怀孕注意事项，包括从环境,生活方式、食物、用药等各个方面需要的注意事项。","怀孕注意事项,怀孕的初期症状,怀孕的征兆,孕期注意事项","怀孕注意事项，怀孕初期症状，怀孕的征兆",503
4,0,1,2,"分娩","{cmspath}/fenmian","每一个女性都应该了解分娩的知识，包括分娩前的征兆、无痛分娩、自然分娩、分娩前的准备等知识。妈妈网为你详细解说孕妇分娩的全过程，助你做好身心准备。","分娩前的征兆,无痛分娩,孕妇分娩全过程,自然分娩","分娩前的征兆，无痛分娩，孕妇分娩全过程",504
5,0,1,3,"月子","{cmspath}/yuezi/","坐月子恢复得不好，会影响产妇的身体健康。坐月子注意事项很多，坐月子要注意不能吹风、不能吃生冷的食物，多吃些汤类食物。妈妈网为你搜集了最全的月子餐，如各种肉食、鱼类、蛋类、蔬菜、水果、豆制品等。","坐月子注意事项,坐月子吃什么好,做月子要注意什么,月子餐","坐月子吃什么好，做月子要注意什么，月子餐食谱",505
6,0,0,49,"图库","{cmspath}/pics/","","","",506
28,0,1,5,"0-1岁","{cmspath}/yinger/","必备育儿知识，才能给孩子最好的呵护。妈妈网提醒，0-1岁的婴儿还很娇嫩，家长们必须学习如何照顾婴儿，包括婴儿湿疹、婴儿喂养、婴儿护理、婴儿辅食等等方面的知识。","婴儿湿疹,婴儿喂养,婴儿护理,婴儿辅食","婴儿湿疹，婴儿辅食，婴儿护理",528
53,3,1,50,"孕期保健","{cmspath}/huaiyun/yqbj","孕期保健直接影响到孕妇身体的健康和胎儿的正常发育，因而了解孕期保健知识很重要。妈妈网孕期保健宝典教你如何保健，孕妇保健除了定期产前检查之外，在衣、食、住、行以至劳动、工作和休息等方面都要适当安排。","怀孕保健,孕期保健知识,孕妇保健,孕期保健宝典","孕期保健知识，孕妇保健，怀孕保健",553
27,0,1,4,"新生儿","{cmspath}/xinsheng/","新生儿可爱却娇嫩，容易发生不适，妈妈网提醒，父母们应该多了解一些新生儿护理知识，如新生儿黄疸、新生儿打嗝、新生儿睡觉，等等，从而让宝宝健康成长。","新生儿,新生儿黄疸正常值,新生儿打嗝,新生儿睡觉不踏实","新生儿打嗝，新生儿睡觉不踏实，新生儿吐奶",527
50,3,1,2,"孕期检查","{cmspath}/huaiyun/yqjch","孕期检查很重要，能及时了解胎儿的发育情况。妈妈网告诉你怀孕检查如何才科学，首先要了解孕期检查的项目有哪些，以及孕期检查时间表，等等。其中定期/特殊产检项目需要根据你的具体情况安排，不一定都会进行。","怀孕检查,孕期检查,孕期检查时间表,孕期检查项目","怀孕检查，孕期检查时间表，孕期检查项目",550
